donor,passage,day,real,centerX,centerY,radiusMicrons,nNuclei,totalIntensity,areaPxSq,normalizedIntensity,normI-BG,totalI-BG
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,1,2189.960811,1977.401176,8.273012774,3,135420886,2099.796976,64492.37,61.37119843,128867.0569
1,1,1,1,164.464205,1908.909482,8.769358562,1,152204972,2359.31306,64512.41,81.41022508,192072.2073
1,1,1,1,415.6341281,242.7900051,9.621078241,1,183528895,2839.863128,64625.96,194.964968,553673.8237
1,1,1,1,60.48912633,792.3686707,8.264181872,1,135655375,2095.316575,64742.19,311.1857848,652032.7329
1,1,1,1,508.4051845,1887.596205,9.769532878,4,189045726,2928.178272,64560.87,129.8663315,380271.7703
1,1,1,1,1868.370005,545.4424358,9.001490294,1,160519715,2485.871934,64572.80,141.8015219,352500.4235
1,1,1,1,107.659114,2110.080043,6.872206361,1,93360365,1448.912971,64434.76,3.763759303,5453.359674
1,1,1,1,45.4382113,2119.994699,8.078337546,1,129473114,2002.137535,64667.44,236.4425267,473390.4576
1,1,1,1,341.5320236,607.4706304,9.089313014,2,162690596,2534.615203,64187.49,-243.5068407,-617196.1406
1,1,1,1,139.644521,141.2781792,9.488529389,1,178033373,2762.152994,64454.57,23.56619142,65093.4262
1,1,1,1,843.6189544,1571.29019,9.484235345,1,178108082,2759.653529,64540.02,109.0156584,300845.4464
1,1,1,1,2145.714426,612.1483552,9.175676648,2,166565499,2583.010176,64485.03,54.03397985,139570.3198
1,1,1,1,2189.096367,1650.982709,9.817971674,1,190799271,2957.286942,64518.35,87.34899684,258316.0478
1,1,1,1,2444.760532,104.3124151,7.053090967,1,98523573,1526.190994,64555.21,124.2053403,189561.0717
1,1,1,1,1594.990623,829.6908275,8.552983619,1,145100183,2244.322154,64652.12,221.1189996,496262.2696
1,1,1,1,2169.075407,73.4401809,9.113613026,1,164187234,2548.185758,64432.99,1.992563305,5077.421435
1,1,1,1,2292.412733,1787.481099,6.260229409,1,77417555,1202.34863,64388.61,-42.39169095,-50969.59155
1,1,1,1,2173.501374,463.2638221,9.931594254,1,195731050,3026.131896,64680.28,249.2772304,754345.7779
1,1,1,1,564.1077762,900.6522566,8.389491421,1,139353529,2159.34077,64535.22,104.2187776,225043.8554
1,1,1,1,1775.807488,1169.315919,11.68907532,4,270965845,4191.893405,64640.44,209.4425983,877961.0463
1,1,1,1,125.4563201,318.2915823,9.593449245,1,182063108,2823.575991,64479.62,48.62036523,137283.296
1,1,1,1,2402.807447,1735.624589,7.974867115,1,125765597,1951.177711,64456.25,25.24930318,49265.87759
1,1,1,1,2357.524999,1273.221167,6.705669306,1,89026949,1379.539628,64533.81,102.8105513,141831.2297
1,1,1,1,76.91883536,1574.9798,9.105810474,1,164376469,2543.824405,64617.85,186.8520281,475318.7493
1,1,1,1,2464.915644,604.0348981,8.575528936,1,144714730,2256.169633,64141.78,-289.2227577,-652535.603
1,1,1,1,1745.485891,244.3064893,10.55208395,1,220454512,3416.067093,64534.60,103.5966528,353893.1166
1,1,1,1,1746.694082,1190.839804,9.179299041,1,166900918,2585.050031,64563.90,132.9024318,343559.4356
1,1,1,1,1783.740659,527.8200818,6.672333388,1,87956190,1365.857501,64396.32,-34.68490569,-47374.63861
1,1,1,1,1324.556777,710.1251247,9.305467734,1,171133818,2656.600997,64418.34,-12.66310452,-33640.81608
1,1,1,1,428.8139521,1465.731542,9.099865756,1,164051604,2540.504024,64574.43,143.4318695,364389.2416
1,1,1,1,1397.20085,910.3083305,6.999046932,1,97147069,1502.891843,64640.09,209.0933245,314244.6519
1,1,1,1,1537.497214,801.1946997,5.763931832,1,65878199,1019.266118,64632.97,201.9725133,205863.7396
1,1,1,1,1830.998625,704.6263836,7.084968591,1,99070825,1540.017921,64330.96,-100.0440588,-154069.6434
1,1,1,1,1854.198763,631.3890251,8.159050127,1,131709601,2042.345057,64489.40,58.39689249,119266.6047
1,1,1,1,1527.110562,1068.025918,9.626158457,1,183393128,2842.862984,64510.01,79.012971,224623.0505
1,1,1,1,2020.019382,413.0609714,6.268454893,1,77484639,1205.510302,64275.39,-155.6148372,-187595.2894
1,1,1,1,395.9616079,109.4577234,8.031922534,2,127239520,1979.19661,64288.47,-142.5309517,-282096.7765
1,1,1,1,1996.577106,1067.049724,5.905342741,1,69041751,1069.892477,64531.49,100.4856452,107508.8358
1,1,1,1,882.8804325,1326.510482,7.339981682,1,106562347,1652.874457,64470.93,39.92612505,65992.87225
1,1,1,1,1730.659299,327.4304123,8.858303909,1,155444474,2407.415586,64569.02,138.0236881,332280.378
1,1,1,1,194.2289467,825.0312577,8.696485968,1,149869975,2320.264616,64591.76,160.7599007,373005.5092
1,1,1,1,1245.103949,1015.306495,6.236370364,1,77012258,1193.20129,64542.55,111.5534332,133105.7004
1,1,1,1,1445.58771,1126.797473,6.073209071,1,73210458,1131.582911,64697.39,266.3874325,301439.4663
